member_id,n_txns,first_txn,last_txn,days_since_last,active_span_days,lifetime_spend,avg_basket,points_balance,redemptions,channels_used,brands_used,main_brand,avg_gap_days,overdue_ratio,annualised_spend,tier,tier_rank,country,home_brand,email,flag_profile_conflicted,flag_shared_email
M16301,8,2022-07-04,2025-08-06,328,1129,424.77,53.1,752.0,0,2,2,PulseEats,161.3,2.03,137.33,Bronze,1,IN,PulseEats,member16301@example.com,false,false
M16373,6,2024-03-08,2025-07-02,363,481,628.57,104.76,931.0,3,3,1,PulseEats,96.2,3.77,476.98,Bronze,1,US,PulseEats,member16373@example.com,false,false
M16941,4,2024-11-19,2025-12-04,208,380,240.64,60.16,314.0,1,3,1,PulseHome,126.7,1.64,231.14,Silver,2,US,PulseHome,member16941@example.com,false,false
M16983,7,2022-01-14,2025-04-13,443,1185,691.24,98.75,1124.0,2,3,3,PulseEats,197.5,2.24,212.91,Gold,3,GB,PulseEats,member16983@example.com,false,false
M17193,4,2023-10-03,2025-01-11,535,466,225.81,56.45,499.0,0,1,2,PulseMart,155.3,3.44,176.87,Gold,3,SG,PulseMart,member17193@example.com,false,false
M17725,5,2024-12-30,2026-01-27,154,393,528.57,105.71,1140.0,0,3,2,PulseHome,98.3,1.57,490.91,Gold,3,US,PulseHome,member17725@example.com,false,false
M17851,8,2023-02-27,2025-11-14,228,991,468.47,58.56,886.0,1,3,1,PulseHome,141.6,1.61,172.54,Bronze,1,IN,PulseHome,member17851@example.com,false,false
M17866,4,2023-04-23,2025-05-08,418,746,252.59,63.15,342.0,1,2,1,PulseEats,248.7,1.68,123.59,Gold,3,SG,PulseEats,member17866@example.com,false,false
M18055,5,2023-02-12,2025-03-26,461,773,157.41,31.48,226.0,1,2,1,PulseEats,193.3,2.39,74.33,Bronze,1,US,PulseEats,member18055@example.com,false,false
M18207,8,2023-01-19,2025-05-28,398,860,488.85,61.11,959.0,2,3,1,PulseMart,122.9,3.24,207.48,Gold,3,US,PulseMart,member18207@example.com,false,false
M18273,7,2022-12-22,2025-08-03,331,955,469.02,67.0,682.0,2,3,2,PulseHome,159.2,2.08,179.26,Bronze,1,US,PulseHome,member18273@example.com,false,false
M18302,5,2023-08-31,2025-02-24,491,543,377.3,75.46,711.0,0,2,3,PulseEats,135.8,3.62,253.62,Bronze,1,SG,PulseEats,member18302@example.com,false,false
M18582,4,2022-12-18,2025-02-15,500,790,201.89,50.47,199.0,2,3,2,PulseHome,263.3,1.9,93.28,Silver,2,IN,PulseHome,member18582@example.com,false,false
M18971,7,2022-04-17,2025-06-16,379,1156,730.65,104.38,1178.0,1,3,1,PulseEats,192.7,1.97,230.7,Gold,3,SG,PulseEats,member18971@example.com,false,false
M19186,5,2023-04-13,2025-01-19,527,647,310.97,62.19,715.0,0,3,1,PulseMart,161.8,3.26,175.43,Bronze,1,US,PulseMart,member19186@example.com,false,false
M19200,4,2023-01-30,2025-03-23,464,783,285.25,71.31,656.0,0,3,1,PulseMart,261.0,1.78,132.97,Bronze,1,IN,PulseMart,member19200@example.com,false,false
M19658,6,2024-02-24,2025-06-19,376,481,409.67,68.28,835.0,0,3,2,PulseHome,96.2,3.91,310.87,Bronze,1,GB,PulseHome,member19658@example.com,false,false
M19777,6,2022-12-14,2025-03-11,476,818,384.65,64.11,394.0,3,3,1,PulseEats,163.6,2.91,171.63,Bronze,1,IN,PulseEats,member19777@example.com,false,false
M20271,8,2023-04-18,2025-06-14,381,788,475.49,59.44,894.0,3,3,1,PulseMart,112.6,3.38,220.25,Platinum,4,SG,PulseMart,member20271@example.com,false,false
M20294,5,2022-04-01,2025-04-14,442,1109,354.57,70.91,716.0,1,3,1,PulseMart,277.3,1.59,116.7,Bronze,1,IN,PulseMart,member20294@example.com,false,false
M20557,6,2024-04-26,2025-10-11,262,533,329.54,54.92,545.0,1,2,2,PulseEats,106.6,2.46,225.67,Bronze,1,IN,PulseEats,member20557@example.com,false,false
M20650,10,2024-12-16,2026-04-06,85,476,838.8,83.88,1325.0,2,3,2,PulseEats,52.9,1.61,643.2,Silver,2,US,PulseEats,member20650@example.com,false,false
M21245,4,2023-09-05,2025-05-05,421,608,253.75,63.44,508.0,0,2,1,PulseHome,202.7,2.08,152.33,Platinum,4,IN,PulseHome,member21245@example.com,false,false
M21964,5,2024-04-25,2025-10-27,246,550,199.27,39.85,399.0,0,2,1,PulseHome,137.5,1.79,132.24,Bronze,1,US,PulseHome,member21964@example.com,false,false
M23023,7,2024-03-16,2025-11-22,220,616,519.45,74.21,891.0,2,3,2,PulseHome,102.7,2.14,307.79,Silver,2,IN,PulseHome,member23023@example.com,false,false
M23352,6,2022-10-17,2025-03-23,464,888,467.63,77.94,819.0,0,3,1,PulseEats,177.6,2.61,192.21,Silver,2,IN,PulseEats,member23352@example.com,false,false
M23522,5,2023-12-10,2025-05-30,396,537,507.8,101.56,906.0,2,3,1,PulseHome,134.3,2.95,345.15,Gold,3,GB,PulseHome,member23522@example.com,false,false
M23786,6,2023-02-13,2025-09-06,297,936,369.99,61.67,852.0,0,3,1,PulseMart,187.2,1.59,144.28,Bronze,1,AE,PulseMart,member23786@example.com,false,false
M23827,6,2021-11-29,2025-04-25,431,1243,502.0,83.67,946.0,2,2,1,PulseMart,248.6,1.73,147.41,Platinum,4,IN,PulseMart,member23827@example.com,false,false
M23959,7,2022-02-19,2025-05-02,424,1168,331.26,47.32,320.0,3,2,2,PulseEats,194.7,2.18,103.52,Bronze,1,US,PulseEats,member23959@example.com,false,false
M24379,7,2023-09-22,2025-11-17,225,787,546.65,78.09,956.0,0,3,1,PulseEats,131.2,1.72,253.53,Gold,3,IN,PulseEats,member24379@example.com,false,false
M24455,5,2024-09-11,2025-11-28,214,443,452.18,90.44,736.0,1,2,1,PulseEats,110.8,1.93,372.56,Bronze,1,IN,PulseEats,member24455@example.com,false,false
M24488,7,2024-02-07,2025-08-01,333,541,417.04,59.58,935.0,0,3,2,PulseMart,90.2,3.69,281.37,Silver,2,US,PulseMart,member24488@example.com,false,false
M25361,4,2023-09-07,2025-07-18,347,680,231.6,57.9,441.0,0,2,2,PulseHome,226.7,1.53,124.31,Platinum,4,US,PulseHome,member25361@example.com,false,false
M25812,6,2023-06-21,2025-09-06,297,808,390.65,65.11,536.0,2,2,1,PulseEats,161.6,1.84,176.47,Bronze,1,AE,PulseEats,member25812@example.com,false,false
M26335,4,2023-02-23,2025-01-13,533,690,324.45,81.11,584.0,0,3,2,PulseEats,230.0,2.32,171.63,Gold,3,US,PulseEats,member26335@example.com,false,false
M26542,4,2024-04-11,2025-07-21,344,466,231.86,57.97,506.0,0,3,2,PulseMart,155.3,2.21,181.61,Silver,2,US,PulseMart,member26542@example.com,false,false
M26987,4,2024-04-22,2025-06-14,381,418,230.56,57.64,461.0,0,2,1,PulseHome,139.3,2.73,201.33,Bronze,1,US,PulseHome,member26987@example.com,false,false
M27116,5,2023-09-16,2025-05-08,418,600,370.5,74.1,709.0,2,3,1,PulseMart,150.0,2.79,225.39,Bronze,1,US,PulseMart,member27116@example.com,false,false
M27170,5,2023-01-06,2025-06-30,365,906,503.86,100.77,892.0,0,3,2,PulseEats,226.5,1.61,202.99,Silver,2,AE,PulseEats,member27170@example.com,false,false
M27373,5,2023-10-16,2025-04-30,426,562,441.72,88.34,735.0,1,3,1,PulseEats,140.5,3.03,286.88,Bronze,1,IN,PulseEats,member27373@example.com,false,false
M27385,4,2023-10-06,2025-04-15,441,557,250.63,62.66,451.0,1,2,1,PulseHome,185.7,2.38,164.24,Bronze,1,US,PulseHome,member27385@example.com,false,false
M27519,4,2024-03-06,2025-05-19,407,439,250.82,62.71,502.0,1,2,1,PulseMart,146.3,2.78,208.54,Silver,2,IN,PulseMart,member27519@example.com,false,false
M27560,4,2024-06-04,2025-09-27,276,480,158.88,39.72,315.0,1,3,1,PulseMart,160.0,1.73,120.82,Bronze,1,SG,PulseMart,member27560@example.com,false,false
M27694,8,2024-02-05,2025-08-30,304,572,575.81,71.98,889.0,2,3,1,PulseEats,81.7,3.72,367.43,Gold,3,IN,PulseEats,member27694@example.com,false,false
M27769,7,2025-01-29,2026-03-09,113,404,235.23,33.6,407.0,1,3,2,PulseMart,67.3,1.68,212.52,Bronze,1,AE,PulseMart,member27769@example.com,false,false
M27893,5,2021-11-27,2025-02-13,502,1174,233.06,46.61,536.0,0,3,1,PulseMart,293.5,1.71,72.46,Bronze,1,SG,PulseMart,member27893@example.com,false,false
M27943,4,2023-05-30,2025-02-01,514,613,214.85,53.71,295.0,1,2,1,PulseMart,204.3,2.52,127.93,Platinum,4,IN,PulseMart,member27943@example.com,false,false
M28227,5,2024-05-16,2025-07-15,350,425,229.73,45.95,528.0,0,3,1,PulseMart,106.3,3.29,197.3,Gold,3,US,PulseMart,member28227@example.com,false,false
M28860,6,2024-03-17,2025-07-22,343,492,361.86,60.31,832.0,0,3,1,PulseMart,98.4,3.49,268.45,Silver,2,US,PulseMart,member28860@example.com,false,false
M29192,9,2023-04-23,2025-08-19,315,849,683.04,75.89,1295.0,1,3,2,PulseHome,106.1,2.97,293.65,Bronze,1,US,PulseHome,member29192@example.com,false,false
M29798,5,2024-01-07,2025-09-30,273,632,254.17,50.83,469.0,0,3,2,PulseEats,158.0,1.73,146.79,Bronze,1,AE,PulseEats,member29798@example.com,false,false
M30013,6,2024-06-15,2025-11-19,223,522,370.04,61.67,758.0,0,3,2,PulseHome,104.4,2.14,258.74,Silver,2,IN,PulseHome,member30013@example.com,false,false
M30259,5,2023-03-16,2025-01-08,538,664,331.33,66.27,663.0,0,2,1,PulseHome,166.0,3.24,182.13,Bronze,1,SG,PulseHome,member30259@example.com,false,false
M30323,4,2024-08-03,2025-08-05,329,367,229.96,57.49,529.0,0,1,1,PulseMart,122.3,2.69,228.71,Bronze,1,IN,PulseMart,member30323@example.com,false,false
M30641,5,2023-08-24,2025-02-28,487,554,242.52,48.5,308.0,3,3,1,PulseEats,138.5,3.52,159.78,Platinum,4,US,PulseEats,member30641@example.com,false,false
M30765,6,2023-08-11,2025-10-20,253,801,380.33,63.39,844.0,0,3,2,PulseMart,160.2,1.58,173.31,Silver,2,US,PulseMart,member30765@example.com,false,false
M30827,6,2024-02-26,2025-11-30,212,643,490.78,81.8,917.0,2,3,2,PulseMart,128.6,1.65,278.59,Gold,3,SG,PulseMart,member30827@example.com,false,false
M30834,4,2023-08-13,2025-05-21,405,647,541.12,135.28,643.0,2,2,1,PulseEats,215.7,1.88,305.27,Bronze,1,US,PulseEats,member30834@example.com,false,false
M31430,5,2024-03-29,2025-05-16,410,413,395.74,79.15,810.0,1,2,1,PulseMart,103.3,3.97,349.75,Bronze,1,SG,PulseMart,member31430@example.com,false,false
M31570,5,2024-08-15,2025-11-12,230,454,310.03,62.01,543.0,1,3,2,PulseHome,113.5,2.03,249.25,Silver,2,US,PulseHome,member31570@example.com,false,false
M31932,7,2023-09-08,2025-10-20,253,773,371.93,53.13,749.0,0,3,3,PulseHome,128.8,1.96,175.62,Bronze,1,US,PulseHome,member31932@example.com,false,false
M32695,7,2023-03-18,2025-08-30,304,896,478.83,68.4,958.0,0,3,1,PulseHome,149.3,2.04,195.06,Bronze,1,IN,PulseHome,member32695@example.com,false,false
M33075,10,2021-07-30,2025-09-07,296,1500,491.75,49.18,778.0,2,3,2,PulseEats,166.7,1.78,119.66,Bronze,1,US,PulseEats,member33075@example.com,false,false
M33085,7,2022-12-30,2025-07-03,362,916,554.88,79.27,993.0,1,3,2,PulseHome,152.7,2.37,221.1,Bronze,1,US,PulseHome,member33085@example.com,false,false
M33790,9,2022-12-30,2025-12-09,203,1075,647.51,71.95,897.0,3,3,2,PulseEats,134.4,1.51,219.85,Silver,2,IN,PulseEats,member33790@example.com,false,false
M33842,6,2024-02-27,2025-11-21,221,633,440.85,73.48,724.0,1,3,1,PulseEats,126.6,1.75,254.2,Gold,3,IN,PulseEats,member33842@example.com,false,false
M34662,7,2022-11-29,2025-08-02,332,977,403.63,57.66,725.0,0,3,2,PulseEats,162.8,2.04,150.79,Silver,2,IN,PulseEats,member34662@example.com,false,false
M34703,5,2022-09-22,2025-01-11,535,842,279.28,55.86,489.0,0,2,1,PulseEats,210.5,2.54,121.07,Gold,3,SG,PulseEats,member34703@example.com,false,false
M34736,9,2024-06-16,2026-02-17,133,611,606.61,67.4,1209.0,2,3,1,PulseMart,76.4,1.74,362.38,Platinum,4,IN,PulseMart,member34736@example.com,false,false
M35651,7,2021-12-29,2025-07-01,364,1280,642.17,91.74,1301.0,0,3,2,PulseHome,213.3,1.71,183.12,Gold,3,IN,PulseHome,member35651@example.com,false,false
M35847,6,2022-07-12,2025-07-04,361,1088,360.9,60.15,630.0,0,3,1,PulseEats,217.6,1.66,121.07,Bronze,1,SG,PulseEats,member35847@example.com,false,false
M36212,8,2023-08-10,2025-12-07,205,850,322.53,40.32,696.0,1,3,1,PulseMart,121.4,1.69,138.5,Gold,3,IN,PulseMart,member36212@example.com,false,false
M36278,5,2023-06-01,2025-04-08,448,677,415.5,83.1,955.0,0,3,1,PulseMart,169.3,2.65,224.01,Gold,3,IN,PulseMart,member36278@example.com,false,false
M36287,7,2022-10-30,2025-07-10,355,984,466.55,66.65,917.0,0,3,2,PulseEats,164.0,2.16,173.06,Bronze,1,IN,PulseEats,member36287@example.com,false,false
M36533,4,2023-07-01,2025-06-20,375,720,206.61,51.65,424.0,1,3,1,PulseMart,240.0,1.56,104.74,Silver,2,IN,PulseMart,member36533@example.com,false,false
M36837,5,2021-09-18,2025-01-06,540,1206,284.41,56.88,498.0,0,2,1,PulseEats,301.5,1.79,86.08,Bronze,1,IN,PulseEats,member36837@example.com,false,false
M37294,5,2024-03-02,2025-07-25,340,510,130.65,26.13,300.0,0,3,1,PulseMart,127.5,2.67,93.5,Bronze,1,US,PulseMart,member37294@example.com,false,false
M37544,6,2023-11-07,2025-09-02,301,665,273.44,45.57,453.0,1,3,2,PulseEats,133.0,2.26,150.08,Bronze,1,IN,PulseEats,member37544@example.com,false,false
M38128,4,2023-03-17,2025-04-14,442,759,283.0,70.75,569.0,1,3,2,PulseMart,253.0,1.75,136.09,Bronze,1,IN,PulseMart,member38128@example.com,false,false
M38187,4,2024-02-24,2025-04-17,439,418,248.16,62.04,571.0,0,3,1,PulseMart,139.3,3.15,216.69,Silver,2,IN,PulseMart,member38187@example.com,false,false
M38290,6,2022-04-20,2025-04-06,450,1082,513.23,85.54,779.0,2,3,2,PulseEats,216.4,2.08,173.13,Silver,2,US,PulseEats,member38290@example.com,false,false
M38379,5,2024-02-09,2025-09-07,296,576,373.36,74.67,521.0,2,3,1,PulseHome,144.0,2.06,236.59,Silver,2,IN,PulseHome,member38379@example.com,false,false
M38578,5,2024-07-13,2025-10-13,260,457,265.06,53.01,545.0,1,3,1,PulseMart,114.3,2.28,211.7,Bronze,1,US,PulseMart,member38578@example.com,false,false
M39256,4,2024-01-14,2025-03-24,463,435,219.7,54.93,334.0,1,3,1,PulseEats,145.0,3.19,184.35,Silver,2,IN,PulseEats,member39256@example.com,false,false
M39327,5,2024-07-26,2025-11-26,216,488,286.83,57.37,520.0,1,3,1,PulseHome,122.0,1.77,214.53,Silver,2,AE,PulseHome,member39327@example.com,false,false
M39411,4,2024-04-12,2025-09-07,296,513,183.1,45.78,356.0,0,2,2,PulseHome,171.0,1.73,130.28,Platinum,4,US,PulseHome,member39411@example.com,false,false
M39521,5,2022-12-22,2025-04-19,437,849,424.26,84.85,761.0,1,2,2,PulseEats,212.3,2.06,182.4,Platinum,4,AE,PulseEats,member39521@example.com,false,false
M39926,7,2023-09-18,2025-11-17,225,791,300.96,42.99,611.0,0,3,2,PulseHome,131.8,1.71,138.88,Platinum,4,SG,PulseHome,member39926@example.com,false,false
M02297,4,2024-07-27,2025-09-01,302,401,1396.06,349.02,2791.0,0,3,1,PulseHome,133.7,2.26,1270.73,Gold,3,AE,PulseHome,member02297@example.com,false,false
M15306,6,2024-09-06,2025-11-04,238,424,1792.97,298.83,3586.0,0,3,1,PulseHome,84.8,2.81,1543.48,Bronze,1,US,PulseHome,member15306@example.com,false,false
M39504,5,2024-06-24,2025-09-06,297,439,1648.48,329.7,3791.0,0,3,1,PulseMart,109.8,2.71,1370.6,Gold,3,US,PulseMart,member39504@example.com,false,false
M18242,4,2024-06-27,2025-07-06,359,374,1190.94,297.74,2382.0,0,2,1,PulseHome,124.7,2.88,1162.28,Silver,2,IN,PulseHome,member18242@example.com,false,false
M08580,6,2024-06-26,2025-10-24,249,485,1955.75,325.96,3912.0,0,2,1,PulseHome,97.0,2.57,1471.85,Gold,3,SG,PulseHome,member08580@example.com,false,false
M05847,6,2024-07-22,2025-10-28,245,463,1952.2,325.37,3906.0,0,3,1,PulseHome,92.6,2.65,1538.99,Gold,3,US,PulseHome,member05847@example.com,false,false
M11230,5,2024-10-01,2025-10-20,253,384,1621.98,324.4,2839.0,0,3,1,PulseEats,96.0,2.64,1541.73,Bronze,1,AE,PulseEats,member11230@example.com,false,false
M06855,5,2024-06-14,2025-07-08,357,389,1344.36,268.87,3092.0,0,3,1,PulseMart,97.3,3.67,1261.42,Gold,3,US,PulseMart,member06855@example.com,false,false
M36096,5,2024-09-03,2025-11-24,218,447,1505.83,301.17,2635.0,0,3,1,PulseEats,111.8,1.95,1229.59,Gold,3,SG,PulseEats,member36096@example.com,false,false
M39036,4,2024-10-21,2025-11-20,222,395,1102.58,275.65,2205.0,0,3,1,PulseHome,131.7,1.69,1018.84,Silver,2,SG,PulseHome,member39036@example.com,false,false
M05500,4,2024-06-10,2025-09-06,297,453,870.24,217.56,1740.0,0,3,1,PulseHome,151.0,1.97,701.19,Bronze,1,US,PulseHome,member05500@example.com,false,false
M15504,4,2024-11-14,2025-11-25,217,376,1311.53,327.88,3016.0,0,2,1,PulseMart,125.3,1.73,1273.16,Platinum,4,IN,PulseMart,member15504@example.com,false,false
M26749,6,2024-09-10,2025-10-01,272,386,2010.49,335.08,4020.0,0,2,1,PulseHome,77.2,3.52,1901.11,Bronze,1,AE,PulseHome,member26749@example.com,false,false
M11591,5,2023-12-16,2025-10-09,264,663,273.83,54.77,397.0,2,3,1,PulseHome,165.8,1.59,150.75,Platinum,4,SG,PulseHome,member11591@example.com,false,false
M00185,4,2024-08-25,2025-08-26,308,366,194.64,48.66,439.0,0,2,2,PulseMart,122.0,2.52,194.11,Bronze,1,US,PulseMart,member00185@example.com,false,false
M10956,6,2023-11-11,2025-11-07,235,727,341.39,56.9,576.0,1,3,2,PulseEats,145.4,1.62,171.4,Bronze,1,IN,PulseEats,member10956@example.com,false,false
M00906,4,2024-04-09,2025-09-10,293,519,306.34,76.59,497.0,1,2,1,PulseEats,173.0,1.69,215.44,Bronze,1,IN,PulseEats,member00906@example.com,false,false
M00363,5,2023-08-24,2025-06-26,369,672,169.71,33.94,376.0,0,2,2,PulseMart,168.0,2.2,92.18,Bronze,1,US,PulseMart,member00363@example.com,false,false
M00473,5,2024-01-26,2025-09-21,282,604,249.52,49.9,500.0,1,2,2,PulseMart,151.0,1.87,150.79,Bronze,1,IN,PulseMart,member00473@example.com,false,false
M00613,5,2024-05-18,2025-09-25,278,495,268.47,53.69,534.0,1,3,2,PulseHome,123.8,2.25,197.96,Bronze,1,SG,PulseHome,member00613@example.com,false,false
M00660,6,2024-01-16,2025-08-27,307,589,451.8,75.3,826.0,2,2,2,PulseMart,117.8,2.61,279.98,Silver,2,IN,PulseMart,member00660@example.com,false,false
M01237,6,2022-03-13,2025-03-02,485,1085,349.82,58.3,700.0,0,3,1,PulseHome,217.0,2.24,117.68,Bronze,1,US,PulseHome,member01237@example.com,false,false
M01275,4,2023-10-04,2025-05-22,404,596,214.63,53.66,411.0,0,3,2,PulseEats,198.7,2.03,131.44,Gold,3,IN,PulseEats,member01275@example.com,false,false
M01407,7,2024-11-20,2026-02-05,145,442,715.21,102.17,1643.0,0,3,1,PulseMart,73.7,1.97,590.61,Silver,2,US,PulseMart,member01407@example.com,false,false
M01560,5,2023-06-14,2025-06-28,367,745,188.61,37.72,378.0,0,3,1,PulseHome,186.3,1.97,92.41,Gold,3,US,PulseHome,member01560@example.com,false,false
M01673,6,2023-08-14,2025-09-22,281,770,434.51,72.42,713.0,1,3,1,PulseEats,154.0,1.82,205.97,Silver,2,IN,PulseEats,member01673@example.com,false,false
M01918,7,2022-06-16,2025-05-28,398,1077,532.44,76.06,1061.0,1,3,2,PulseHome,179.5,2.22,180.45,Gold,3,US,PulseHome,member01918@example.com,false,false
M02532,5,2024-06-14,2025-10-23,250,496,385.1,77.02,465.0,2,2,2,PulseHome,124.0,2.02,283.39,Gold,3,IN,PulseHome,member02532@example.com,false,false
M02694,9,2022-05-12,2025-02-25,490,1020,373.84,41.54,859.0,0,3,1,PulseMart,127.5,3.84,133.78,Silver,2,IN,PulseMart,member02694@example.com,false,false
M03013,9,2022-01-31,2025-04-29,427,1184,488.3,54.26,777.0,2,3,1,PulseHome,148.0,2.89,150.53,Bronze,1,IN,PulseHome,member03013@example.com,false,false
M03080,6,2022-03-02,2025-01-06,540,1041,615.31,102.55,962.0,1,3,1,PulseEats,208.2,2.59,215.74,Bronze,1,AE,PulseEats,member03080@example.com,false,false
M03456,7,2021-12-13,2025-05-28,398,1262,463.88,66.27,561.0,4,3,1,PulseHome,210.3,1.89,134.16,Silver,2,SG,PulseHome,member03456@example.com,false,false
M03494,5,2023-09-12,2025-07-17,348,674,421.44,84.29,906.0,1,2,1,PulseMart,168.5,2.07,228.23,Silver,2,SG,PulseMart,member03494@example.com,false,false
M03639,4,2024-07-14,2025-08-28,306,410,208.8,52.2,435.0,0,3,2,PulseHome,136.7,2.24,185.88,Silver,2,IN,PulseHome,member03639@example.com,false,false
M03695,7,2022-10-16,2025-10-03,270,1083,484.65,69.24,1094.0,0,3,2,PulseMart,180.5,1.5,163.34,Gold,3,US,PulseMart,member03695@example.com,false,false
M03788,7,2024-10-04,2026-01-06,175,459,419.46,59.92,687.0,1,3,2,PulseHome,76.5,2.29,333.56,Platinum,4,GB,PulseHome,member03788@example.com,false,false
M03815,5,2023-07-01,2025-08-06,328,767,274.12,54.82,480.0,0,1,1,PulseEats,191.8,1.71,130.45,Bronze,1,US,PulseEats,member03815@example.com,false,false
M04161,5,2024-07-25,2025-09-23,280,425,263.9,52.78,425.0,1,2,1,PulseEats,106.3,2.64,226.64,Silver,2,IN,PulseEats,member04161@example.com,false,false
M04794,7,2022-09-29,2025-09-01,302,1068,385.43,55.06,554.0,2,3,2,PulseHome,178.0,1.7,131.72,Silver,2,IN,PulseHome,member04794@example.com,false,false
M04828,4,2023-05-04,2025-05-16,410,743,160.38,40.1,321.0,0,3,1,PulseHome,247.7,1.66,78.79,Bronze,1,IN,PulseHome,member04828@example.com,false,false
M04879,5,2024-10-25,2025-11-01,241,372,268.75,53.75,325.0,2,3,1,PulseMart,93.0,2.59,263.69,Silver,2,AE,PulseMart,member04879@example.com,false,false
M05408,5,2024-05-23,2025-11-05,237,531,480.72,96.14,555.0,2,2,1,PulseEats,132.8,1.79,330.44,Bronze,1,AE,PulseEats,member05408@example.com,false,false
M05537,4,2023-06-16,2025-01-07,539,571,341.91,85.48,548.0,1,2,1,PulseEats,190.3,2.83,218.56,Bronze,1,IN,PulseEats,member05537@example.com,false,false
M05553,9,2021-07-02,2025-05-27,399,1425,1433.91,159.32,2815.0,1,3,2,PulseHome,178.1,2.24,367.28,Bronze,1,AE,PulseHome,member05553@example.com,false,false
M05650,6,2022-05-30,2025-03-22,465,1027,457.61,76.27,893.0,0,3,2,PulseHome,205.4,2.26,162.64,Silver,2,IN,PulseHome,member05650@example.com,false,false
M05812,4,2024-03-27,2025-08-18,316,509,197.36,49.34,81.0,3,2,1,PulseEats,169.7,1.86,141.53,Silver,2,IN,PulseEats,member05812@example.com,false,false
