member_id,email,first_name,last_name,join_date,tier,brand,status,country,birth_date
M00040,member00040@example.com,First00040,Last00040,2024-08-28,Platinum,PulseEats,inactive,AE,1987-12-07
M00041,member00041@example.com,First00041,Last00041,2021-06-09,Bronze,PulseEats,inactive,US,1972-08-05
M00042,member00042@example.com,First00042,Last00042,2025-05-31,Bronze,PulseEats,active,US,1988-09-09
M00043,member00043@example.com,First00043,Last00043,2023-09-20,Silver,PulseMart,active,SG,2001-10-25
M00044,member00044@example.com,First00044,Last00044,2023-02-03,Silver,PulseEats,churned,US,1989-12-03
M00045,member00045@example.com,First00045,Last00045,2024-07-28,Silver,PulseMart,active,IN,2000-12-28
M00046,member00046@example.com,First00046,Last00046,2025-05-15,Silver,PulseMart,active,US,1976-08-16
M00047,member00047@example.com,First00047,Last00047,,Bronze,PulseHome,active,IN,1978-01-04
M00048,member00048@example.com,First00048,Last00048,2023-01-27,Gold,PulseMart,active,US,2004-07-18
M00049,member00049@example.com,First00049,Last00049,,Silver,PulseMart,active,US,1987-11-05
M00050,member00050@example.com,First00050,Last00050,2024-12-15,Silver,PulseEats,active,IN,2006-02-09
M00051,member00051@example.com,First00051,Last00051,2025-05-22,Bronze,PulseHome,active,GB,1974-07-16
M00052,member00052@example.com,First00052,Last00052,2022-10-12,Silver,PulseHome,active,GB,1971-09-14
M00053,member00053@example.com,First00053,Last00053,,Bronze,PulseHome,active,AE,1981-03-21
M00054,member00054@example.com,First00054,Last00054,2021-12-11,Platinum,PulseMart,active,IN,1966-04-16
M00055,member00055@example.com,First00055,Last00055,2021-05-24,Silver,PulseHome,active,SG,1966-01-08
M00056,member00056@example.com,First00056,Last00056,2025-02-06,Gold,PulseHome,active,IN,1975-07-29
M00057,member00057@example.com,First00057,Last00057,2024-10-24,Bronze,PulseMart,inactive,GB,1969-07-14
M00058,member00058@example.com,First00058,Last00058,2022-06-18,Bronze,PulseHome,active,IN,1985-01-17
M00059,member00059@example.com,First00059,Last00059,2024-12-12,Bronze,PulseEats,inactive,IN,2005-01-24
M00060,member00060@example.com,First00060,Last00060,2021-03-12,Gold,PulseHome,inactive,IN,1994-04-11
M00061,member00061@example.com,First00061,Last00061,2024-05-29,Silver,PulseMart,active,US,1978-07-09
M00062,member00062@example.com,First00062,Last00062,2024-07-27,Silver,PulseMart,inactive,US,1986-09-25
M00063,member00063@example.com,First00063,Last00063,2026-02-07,Silver,PulseHome,active,US,1994-04-18
M00064,member00064@example.com,First00064,Last00064,2025-03-06,platinum,PulseEats,churned,AE,1965-09-29
M00065,member00065@example.com,First00065,Last00065,2026-01-16,Silver,PulseHome,inactive,SG,1972-03-01
M00066,member00066@example.com,First00066,Last00066,2021-03-12,Bronze,PulseHome,active,US,2006-05-17
M00067,member00067@example.com,First00067,Last00067,2023-07-10,Gold,PulseEats,active,IN,1972-08-03
M00068,member00068@example.com,First00068,Last00068,2022-11-04,Bronze,PulseEats,inactive,IN,1978-05-19
M00069,member00069@example.com,First00069,Last00069,2022-09-13,Gold,PulseEats,churned,US,1999-10-03
M00070,member00070@example.com,First00070,Last00070,2025-05-15,Silver,PulseEats,inactive,IN,1967-10-19
M00071,member00071@example.com,First00071,Last00071,2024-02-12,Bronze,PulseHome,active,US,1986-07-26
M00072,member00072@example.com,First00072,Last00072,2021-07-29,Platinum,PulseMart,active,U.S.,1989-12-01
M00073,member00073@example.com,First00073,Last00073,2022-06-02,Bronze,PulseMart,inactive,US,1994-01-01
M00074,member00074@example.com,First00074,Last00074,2021-10-25,Gold ,PulseHome,active,US,1991-10-10
M00075,member00075@example.com,First00075,Last00075,2021-01-17,Silver,PulseMart,active,SG,2001-09-10
M00076,member00076@example.com,First00076,Last00076,2024-09-26,Gold,PulseMart,active,US,1979-03-22
M00077,member00077@example.com,First00077,Last00077,2026-01-18,Bronze,PulseEats,active,US,2000-01-10
M00078,member00078@example.com,First00078,Last00078,2021-12-30,Bronze,PulseMart,churned,IN,1975-05-11
M00079,member00079@example.com,First00079,Last00079,2022-09-19,Gold,PulseEats,active,IN,1990-10-15
M00080,member00080@example.com,First00080,Last00080,2023-05-11,Platinum,PulseMart,active,IN,1972-08-20
M00081,member00081@example.com,First00081,Last00081,2021-04-13,Bronze,PulseMart,active,US,1987-10-18
M00082,member00082@example.com,First00082,Last00082,2021-12-07,Bronze,PulseEats,inactive,US,1972-02-04
M00083,member00083@example.com,First00083,Last00083,2026-02-05,Gold,PulseEats,active,US,1990-03-15
M00084,member00084@example.com,First00084,Last00084,2022-08-30,Bronze,PulseHome,active,GB,1982-05-19
M00085,member00085@example.com,First00085,Last00085,2025-12-13,Bronze,PulseEats,active,GB,1988-08-03
M00086,member00086@example.com,First00086,Last00086,2023-07-03,Bronze,PulseEats,active,US,1991-10-02
M00087,member00087@example.com,First00087,Last00087,2021-03-02,Platinum,PulseMart,inactive,US,2005-07-01
M00088,member00088@example.com,First00088,Last00088,2025-10-21,Silver,PulseEats,churned,IN,1982-04-19
M00089,member00089@example.com,First00089,Last00089,2022-04-24,Bronze,PulseEats,active,IN,1984-01-18
M00090,member00090@example.com,First00090,Last00090,2021-08-28,Gold,PulseHome,active,IN,1971-06-01
M00091,member00091@example.com,First00091,Last00091,2026-03-07,Gold,PulseMart,active,IN,1999-08-22
M00092,member00092@example.com,First00092,Last00092,2025-06-04,Silver,PulseEats,active,US,1973-06-12
M00093,member00093@example.com,First00093,Last00093,2024-01-11,Gold,PulseEats,inactive,IN,1973-07-18
M00094,member00094@example.com,First00094,Last00094,2022-11-22,Platinum,PulseEats,active,SG,1966-05-24
M00095,member00095@example.com,First00095,Last00095,2022-11-06,Gold,PulseHome,inactive,US,1973-02-12
M00096,member00096@example.com,First00096,Last00096,2025-10-14,Silver,PulseEats,active,US,1971-06-13
M00097,member00097@example.com,First00097,Last00097,2025-03-24,Gold,PulseEats,active,IN,2006-03-04
M00098,member00098@example.com,First00098,Last00098,2022-06-22,Bronze,PulseMart,active,US,2003-03-27
M00099,member00099@example.com,First00099,Last00099,2023-10-09,Bronze,PulseHome,active,SG,1985-05-19
M00100,member00100@example.com,First00100,Last00100,2024-03-15,Silver,PulseHome,inactive,US,1977-05-20
M00101,member00101@example.com,First00101,Last00101,2024-05-27,Bronze,PulseEats,active,US,1996-05-10
M00102,member00102@example.com,First00102,Last00102,2024-12-27,Gold,PulseHome,active,AE,1965-07-12
M00103,member00103@example.com,First00103,Last00103,2021-02-21,Bronze,PulseHome,active,SG,1978-10-17
M00104,member00104@example.com,First00104,Last00104,2025-11-03,Silver,PulseMart,active,IN,1981-07-17
M00105,member00105@example.com,First00105,Last00105,2024-06-28,Gold,PulseEats,active,SG,1974-07-22
M00106,member00106@example.com,First00106,Last00106,2023-08-11,Gold,PulseMart,active,US,1994-10-10
M00107,member00107@example.com,First00107,Last00107,2021-05-27,Silver,PulseMart,active,GB,1986-01-15
M00108,member00108@example.com,First00108,Last00108,2026-03-03,Bronze,PulseEats,active,IN,2001-04-09
M00109,member00109@example.com,First00109,Last00109,2021-10-28,Bronze,PulseEats,churned,IN,1992-01-24
M00110,member00110@example.com,First00110,Last00110,2024-02-25,Platinum,PulseEats,churned,AE,1993-07-23
M00111,member00111@example.com,First00111,Last00111,2023-03-10,Silver,PulseHome,active,IN,1973-08-29
M00112,member00112@example.com,First00112,Last00112,2023-08-29,Gold,PulseHome,active,US,2000-09-22
M00113,member00113@example.com,First00113,Last00113,2022-08-03,Silver,PulseHome,active,IN,1996-03-30
M00114,member00114@example.com,First00114,Last00114,2023-04-24,Silver,PulseMart,churned,IN,1995-09-28
M00115,member00115@example.com,First00115,Last00115,2023-12-06,Silver,PulseEats,active,IN,1993-05-10
M00116,member00116@example.com,First00116,Last00116,2022-12-22,Silver,PulseMart,active,SG,1978-01-30
M00117,member00117@example.com,First00117,Last00117,2022-11-06,Gold,PulseEats,active,IN,1989-06-02
M00118,member00118@example.com,First00118,Last00118,2022-01-21,Bronze,PulseMart,active,US,1986-04-18
M00119,member00119@example.com,First00119,Last00119,2021-06-05,Gold,PulseMart,active,US,2005-06-30
M00120,member00120@example.com,First00120,Last00120,2025-05-23,Silver,PulseMart,active,IN,1968-01-04
M00121,member00121@example.com,First00121,Last00121,2022-02-04,Silver,PulseMart,active,AE,1970-08-26
M00122,member00122@example.com,First00122,Last00122,2022-02-22,Gold,PulseMart,active,US,1983-01-01
M00123,member00123@example.com,First00123,Last00123,2026-02-17,Bronze,PulseHome,inactive,IN,2000-03-11
M00124,member00124@example.com,First00124,Last00124,2024-09-13,Bronze,PulseHome,active,IN,1992-12-28
M00125,member00125@example.com,First00125,Last00125,2021-04-16,Platinum,PulseHome,churned,IN,2001-12-26
M00126,member00126@example.com,First00126,Last00126,2026-03-21,Gold,PulseEats,active,US,1979-05-07
M00127,member00127@example.com,First00127,Last00127,2021-02-12,Bronze,PulseMart,active,US,1983-12-18
M00128,member00128@example.com,First00128,Last00128,2024-09-08,Bronze,PulseHome,active,US,1974-09-06
M00129,member00129@example.com,First00129,Last00129,2023-10-06,Bronze,PulseHome,active,AE,1984-07-02
M00130,member00130@example.com,First00130,Last00130,2022-04-28,Gold,PulseHome,active,IN,1991-02-19
M00131,member00131@example.com,First00131,Last00131,2022-08-11,Gold,PulseHome,active,SG,1982-06-29
M00132,member00132@example.com,First00132,Last00132,2025-11-24,Bronze,PulseHome,churned,SG,1988-01-29
M00133,member00133@example.com,First00133,Last00133,2023-06-29,Gold,PulseMart,churned,IN,2006-01-14
M00134,member00134@example.com,First00134,Last00134,2024-08-26,Gold,PulseMart,active,IN,1992-07-30
M00135,member00135@example.com,First00135,Last00135,2021-04-24,Silver,PulseMart,inactive,IN,1967-05-17
M00136,member00136@example.com,First00136,Last00136,2022-05-06,Bronze,PulseMart,inactive,IN,1978-08-21
M00137,member00137@example.com,First00137,Last00137,2023-12-01,Silver,PulseEats,active,SG,1970-02-10
M00138,member00138@example.com,First00138,Last00138,2025-04-11,Bronze,PulseMart,inactive,US,1973-07-18
M00139,member00139@example.com,First00139,Last00139,2023-07-28,Silver,PulseEats,active,IN,2001-07-21
M00140,member00140@example.com,First00140,Last00140,2023-08-30,Bronze,PulseHome,churned,US,1990-02-10
M00141,member00141@example.com,First00141,Last00141,2025-06-21,Bronze,PulseHome,inactive,AE,1965-12-25
M00142,member00142@example.com,First00142,Last00142,2023-06-10,Bronze,PulseHome,active,IN,1969-09-20
M00143,member00143@example.com,First00143,Last00143,2023-12-16,Bronze,PulseMart,active,US,1993-08-10
M00144,member00144@example.com,First00144,Last00144,2022-07-05,Bronze,PulseEats,active,IN,1981-11-08
M00145,member00145@example.com,First00145,Last00145,2025-10-01,Bronze,PulseEats,active,IN,1990-02-21
M00146,member00146@example.com,First00146,Last00146,2023-04-03,Silver,PulseEats,inactive,US,1971-09-02
M00147,member00147@example.com,First00147,Last00147,2026-01-08,Bronze,PulseEats,active,US,1972-02-19
M00148,member00148@example.com,First00148,Last00148,2022-11-05,Gold,PulseHome,active,US,1989-03-28
M00149,member00149@example.com,First00149,Last00149,2022-01-01,Gold,PulseEats,active,GB,1977-10-10
M00150,member00150@example.com,First00150,Last00150,2025-04-17,Gold,PulseMart,active,AE,1969-10-05
M00151,member00151@example.com,First00151,Last00151,2024-04-10,Silver,PulseHome,inactive,IN,1988-01-05
M00152,member00152@example.com,First00152,Last00152,2024-04-16,Gold,PulseMart,active,GB,1969-12-11
M00153,member00153@example.com,First00153,Last00153,2023-05-16,Bronze,PulseMart,inactive,AE,1992-08-30
M00154,member00154@example.com,First00154,Last00154,2023-08-14,Platinum,PulseHome,active,GB,1977-05-30
M00155,member00155@example.com,First00155,Last00155,2023-10-10,Bronze,PulseMart,active,SG,1973-11-15
M00156,member00156@example.com,First00156,Last00156,2023-05-09,Silver,PulseEats,active,IN,1976-08-27
M00157,member00157@example.com,First00157,Last00157,2023-01-22,Gold,PulseEats,active,SG,1988-02-04
M00158,member00158@example.com,First00158,Last00158,,Silver,PulseEats,active,IN,1968-06-07
M00159,member00159@example.com,First00159,Last00159,2023-08-22,Bronze,PulseMart,active,IN,2003-05-21
M00160,member00160@example.com,First00160,Last00160,2026-03-18,Silver,PulseHome,active,IN,1985-06-27
M00161,member00161@example.com,First00161,Last00161,2021-06-30,Silver,PulseMart,inactive,IN,1979-12-05
M00162,member00162@example.com,First00162,Last00162,2024-09-15,Bronze,PulseEats,active,IN,1970-03-13
M00163,member00163@example.com,First00163,Last00163,2024-05-07,Gold,PulseEats,churned,AE,1984-09-21
M00164,member00164@example.com,First00164,Last00164,2022-03-23,Platinum,PulseHome,inactive,US,1972-10-17
M00165,member00165@example.com,First00165,Last00165,2021-11-24,Silver,PulseEats,active,GB,1995-08-15
M00166,member00166@example.com,First00166,Last00166,2022-12-20,Gold,PulseMart,active,AE,1965-05-04
M00167,member00167@example.com,First00167,Last00167,2021-07-17,Gold,PulseMart,active,AE,2002-01-15
M00168,member00168@example.com,First00168,Last00168,2023-03-19,Bronze,PulseHome,active,AE,1983-06-18
M00169,member00169@example.com,First00169,Last00169,2021-09-01,Silver,PulseMart,active,IN,1982-08-22
M00170,member00170@example.com,First00170,Last00170,2026-03-27,Bronze,PulseHome,active,US,1982-07-21
M00171,member00171@example.com,First00171,Last00171,2026-02-07,Gold,PulseMart,active,SG,1994-04-13
M00172,member00172@example.com,First00172,Last00172,2025-11-01,Gold,PulseMart,active,IN,1995-06-02
M00173,member00173@example.com,First00173,Last00173,2025-09-22,Silver,PulseEats,active,US,2003-07-28
M00174,member00174@example.com,First00174,Last00174,2026-01-11,Silver,PulseEats,inactive,IN,2006-05-14
M00175,member00175@example.com,First00175,Last00175,2023-11-23,Bronze,PulseHome,inactive,IN,1997-01-11
M00176,member00176@example.com,First00176,Last00176,2024-06-09,Gold,PulseMart,active,US,1965-12-15
M00177,member00177@example.com,First00177,Last00177,2021-01-30,Silver,PulseHome,inactive,IN,1996-09-16
M00178,member00178@example.com,First00178,Last00178,2025-11-19,Bronze,PulseMart,active,US,2000-12-02
M00179,member00179@example.com,First00179,Last00179,2021-05-16,Gold,PulseHome,active,AE,1972-02-02
M00180,member00180@example.com,First00180,Last00180,2021-07-25,Silver,PulseEats,active,IN,1982-01-16
M00181,member00181@example.com,First00181,Last00181,2024-04-19,Silver,PulseMart,active,GB,1979-10-13
M00182,member00182@example.com,First00182,Last00182,2021-07-11,Gold,PulseHome,active,US,1986-03-01
M00183,member00183@example.com,First00183,Last00183,2025-07-25,Bronze,PulseMart,active,US,1969-09-13
M00184,member00184@example.com,First00184,Last00184,2021-08-25,Gold,PulseHome,inactive,US,1967-04-14
M00185,member00185@example.com,First00185,Last00185,2021-01-03,Bronze,PulseMart,active,US,1983-01-30
M00186,member00186@example.com,First00186,Last00186,2025-08-31,gold,PulseHome,churned,IN,1979-11-19
M00187,member00187@example.com,First00187,Last00187,2024-09-18,Silver,PulseMart,active,GB,1978-10-07
M00188,member00188@example.com,First00188,Last00188,2023-05-12,Silver,PulseHome,inactive,US,1974-02-08
M00189,member00189@example.com,First00189,Last00189,2021-12-30,Bronze,PulseMart,inactive,US,1972-05-20
M00190,member00190@example.com,First00190,Last00190,2021-11-27,Gold,PulseHome,active,IN,1968-01-17
M00191,member00191@example.com,First00191,Last00191,2023-12-15,Platinum,PulseMart,active,US,1999-10-01
M00192,member00192@example.com,First00192,Last00192,2023-10-11,Gold,PulseMart,active,IN,1978-01-15
M00193,member00193@example.com,First00193,Last00193,2023-01-10,Gold,PulseEats,active,US,1989-01-28
M00194,member00194@example.com,First00194,Last00194,2025-11-16,Silver,PulseMart,inactive,IN,1978-01-25
M00195,member00195@example.com,First00195,Last00195,2025-11-02,Gold,PulseHome,active,US,1969-02-09
M00196,member00196@example.com,First00196,Last00196,2025-08-09,Silver,PulseEats,active,IN,1972-01-30
M00197,member00197@example.com,First00197,Last00197,2026-03-08,Silver,PulseEats,active,AE,1994-10-24
M00198,member00198@example.com,First00198,Last00198,2023-01-28,Gold,PulseMart,active,SG,1968-03-26
M00199,member00199@example.com,First00199,Last00199,2022-05-18,Bronze,PulseMart,active,IN,1985-03-01
M00200,member00200@example.com,First00200,Last00200,2026-01-27,Bronze,PulseMart,inactive,US,1974-07-04
M00201,member00201@example.com,First00201,Last00201,2025-07-20,Silver,PulseHome,active,US,1980-07-09
M00202,member00202@example.com,First00202,Last00202,2023-12-22,Gold,PulseEats,churned,IN,1987-04-16
M00203,member00203@example.com,First00203,Last00203,2026-02-22,Silver,PulseHome,inactive,IN,1973-06-17
M00204,member00204@example.com,First00204,Last00204,2022-04-23,Silver,PulseMart,active,US,2005-03-03
M00205,member00205@example.com,First00205,Last00205,2022-02-01,Silver,PulseHome,active,IN,1997-06-10
M00206,member00206@example.com,First00206,Last00206,2021-09-09,Bronze,PulseEats,active,IN,1992-03-09
M00207,member00207@example.com,First00207,Last00207,2024-09-19,Bronze,PulseEats,active,US,1984-04-28
M00208,member00208@example.com,First00208,Last00208,2021-04-29,Platinum,PulseEats,active,IN,1977-05-10
M00209,member00209@example.com,First00209,Last00209,2025-06-26,Platinum,PulseMart,active,US,1975-05-01
M00210,member00210@example.com,First00210,Last00210,2022-04-27,Bronze,PulseHome,active,IN,2001-06-02
M00211,member00211@example.com,First00211,Last00211,2024-09-01,Bronze,PulseMart,active,IN,1999-07-20
M00212,member00212@example.com,First00212,Last00212,2021-03-19,Gold,PulseHome,active,US,1995-01-02
M00213,member00213@example.com,First00213,Last00213,2023-10-26,Bronze,PulseMart,active,US,1995-02-06
M00214,member00214@example.com,First00214,Last00214,2023-01-10,Platinum,PulseMart,active,US,1976-07-22
M00215,member00215@example.com,First00215,Last00215,2023-09-04,Gold,PulseEats,churned,US,1988-04-28
M00216,member00216@example.com,First00216,Last00216,2024-08-04,Gold,PulseEats,active,GB,1996-03-12
M00217,member00217@example.com,First00217,Last00217,2021-10-24,Platinum,PulseMart,active,US,2000-03-05
M00218,member00218@example.com,First00218,Last00218,,Platinum,PulseMart,active,US,1967-12-29
M00219,member00219@example.com,First00219,Last00219,2025-10-08,Bronze,PulseHome,inactive,IN,2002-08-17
M00220,member00220@example.com,First00220,Last00220,2026-02-27,Bronze,PulseEats,inactive,US,1986-06-07
M00221,member00221@example.com,First00221,Last00221,2025-03-13,Gold,PulseMart,inactive,GB,1984-12-05
M00222,member00222@example.com,First00222,Last00222,2026-03-19,Silver,PulseHome,active,SG,2003-04-03
M00223,member00223@example.com,First00223,Last00223,2023-06-29,Silver,PulseHome,inactive,SG,1999-03-10
M00224,member00224@example.com,First00224,Last00224,2022-10-03,Gold,PulseMart,active,GB,2003-06-05
M00225,member00225@example.com,First00225,Last00225,2025-02-03,Silver,PulseHome,active,IN,1977-09-06
M00226,member00226@example.com,First00226,Last00226,2025-03-03,Bronze,PulseMart,active,US,1984-07-01
M00227,member00227@example.com,First00227,Last00227,2023-03-21,Bronze,PulseEats,active,US,1994-05-28
M00228,member00228@example.com,First00228,Last00228,2021-01-10,Bronze,PulseHome,inactive,US,1979-06-14
M00229,member00229@example.com,First00229,Last00229,2022-04-02,Gold,PulseMart,active,US,1994-07-18
M00230,member00230@example.com,First00230,Last00230,2021-07-03,Gold,PulseHome,active,US,1975-11-25
M00231,member00231@example.com,First00231,Last00231,2021-10-08,Gold,PulseMart,active,SG,1972-05-29
M00232,member00232@example.com,First00232,Last00232,2024-03-28,Gold,PulseMart,inactive,AE,1977-02-12
M00233,member00233@example.com,First00233,Last00233,2021-07-05,Bronze,PulseMart,active,US,1966-02-22
M00234,member00234@example.com,First00234,Last00234,2021-07-30,Gold,PulseMart,active,AE,1982-09-28
M00235,member00235@example.com,First00235,Last00235,2022-02-22,Gold,PulseHome,active,US,1996-08-03
M00236,member00236@example.com,First00236,Last00236,2024-02-13,Bronze,PulseMart,active,US,2004-06-11
M00237,member00237@example.com,First00237,Last00237,2025-04-03,Bronze,PulseEats,active,US,1973-05-28
M00238,member00238@example.com,First00238,Last00238,2023-08-13,Bronze,PulseHome,active,IN,2006-05-13
M00239,member00239@example.com,First00239,Last00239,2021-01-21,Bronze,PulseMart,active,AE,1965-01-29
M00240,member00240@example.com,First00240,Last00240,2025-08-25,Silver,PulseEats,active,GB,1996-01-14
M00241,member00241@example.com,First00241,Last00241,2021-09-24,Silver,PulseHome,inactive,SG,2003-01-01
M00242,member00242@example.com,First00242,Last00242,2022-08-29,Gold,PulseEats,active,AE,2005-05-01
M00243,member00243@example.com,First00243,Last00243,2024-04-18,Gold,PulseMart,inactive,SG,1974-04-14
M00244,member00244@example.com,First00244,Last00244,2024-04-12,Bronze,PulseMart,active,IN,1981-12-19
M00245,member00245@example.com,First00245,Last00245,2025-02-16,Bronze,PulseEats,active,GB,2001-11-17
M00246,member00246@example.com,First00246,Last00246,2024-03-24,Gold,PulseHome,active,IN,1978-01-17
M00247,member00247@example.com,First00247,Last00247,2025-05-07,Bronze,PulseMart,active,GB,1974-10-03
M00248,member00248@example.com,First00248,Last00248,2023-11-05,Platinum,PulseEats,active,IN,1971-03-05
M00249,member00249@example.com,First00249,Last00249,2022-12-17,Platinum,PulseHome,active,IN,1978-09-26
M00250,member00250@example.com,First00250,Last00250,2021-04-08,Gold,PulseMart,active,US,1993-01-19
M00251,member00251@example.com,First00251,Last00251,2024-05-08,Platinum,PulseMart,active,US,2002-08-09
M00252,member00252@example.com,First00252,Last00252,2026-03-27,Silver,PulseHome,active,US,1991-10-08
M00253,member00253@example.com,First00253,Last00253,2024-09-01,Bronze,PulseEats,active,SG,1965-06-13
M00254,member00254@example.com,First00254,Last00254,2021-04-10,Gold,PulseMart,active,US,1965-05-17
M00255,member00255@example.com,First00255,Last00255,2025-06-22,Bronze,PulseMart,active,US,1965-01-21
M00256,member00256@example.com,First00256,Last00256,2022-01-24,Bronze,PulseEats,active,US,1982-03-31
M00257,member00257@example.com,First00257,Last00257,2024-04-08,Silver,PulseMart,active,AE,1966-09-16
M00258,member00258@example.com,First00258,Last00258,2025-10-10,Silver,PulseMart,active,US,1971-04-26
M00259,member00259@example.com,First00259,Last00259,2024-03-17,Silver,PulseMart,inactive,IN,1985-09-11
M00260,member00260@example.com,First00260,Last00260,2022-04-06,Silver,PulseEats,active,US,1977-07-23
M00261,member00261@example.com,First00261,Last00261,2026-03-25,Bronze,PulseHome,active,IN,1969-10-01
M00262,member00262@example.com,First00262,Last00262,2021-07-29,Silver,PulseHome,inactive,India,1994-10-04
M00263,member00263@example.com,First00263,Last00263,2023-11-10,Bronze,PulseEats,active,SG,1968-07-28
M00264,member00264@example.com,First00264,Last00264,2023-11-18,Gold,PulseEats,active,IN,1992-05-01
M00265,member00265@example.com,First00265,Last00265,2024-03-23,Bronze,PulseMart,active,IN,1999-09-16
M00266,member00266@example.com,First00266,Last00266,2023-03-19,Platinum,PulseMart,active,US,1999-09-30
M00267,member00267@example.com,First00267,Last00267,2024-10-19,Platinum,PulseHome,active,US,1999-10-11
M00268,member00268@example.com,First00268,Last00268,2024-03-20,Bronze,PulseHome,active,IN,2006-06-01
M00269,member00269@example.com,First00269,Last00269,2021-12-11,Silver,PulseEats,churned,AE,1968-09-02
M00270,member00270@example.com,First00270,Last00270,2021-07-14,Bronze,PulseMart,active,US,1967-12-30
M00271,member00271@example.com,First00271,Last00271,2021-07-09,Silver,PulseHome,active,SG,1990-02-18
M00272,member00272@example.com,First00272,Last00272,2022-06-16,Bronze,PulseEats,active,IN,1970-02-26
M00273,member00273@example.com,First00273,Last00273,2023-10-18,Bronze,PulseMart,active,US,1981-07-10
M00274,member00274@example.com,First00274,Last00274,2023-05-27,Silver,PulseEats,active,GB,1987-04-16
M00275,member00275@example.com,First00275,Last00275,2025-08-31,Bronze,PulseEats,active,AE,1967-11-16
M00276,member00276@example.com,First00276,Last00276,2023-04-01,Bronze,PulseEats,active,IN,1993-07-03
